Time,Central,Tipo Central,Generacion_MWh,Tecnologia,Clasificacion,Codigo Central
2017-08-01T16:00:00Z,Solar San Andrés,Solar,"19,40",Solar Fotovoltaica,ERNC,Solar San Andrés
2017-08-01T17:00:00Z,Solar San Andrés,Solar,"20,80",Solar Fotovoltaica,ERNC,Solar San Andrés
2017-08-01T18:00:00Z,Solar San Andrés,Solar,"5,53",Solar Fotovoltaica,ERNC,Solar San Andrés
2017-08-01T19:00:00Z,Solar San Andrés,Solar,"0,01",Solar Fotovoltaica,ERNC,Solar San Andrés
2017-08-01T20:00:00Z,Solar San Andrés,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar San Andrés
2017-08-01T21:00:00Z,Solar San Andrés,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar San Andrés
2017-08-01T22:00:00Z,Solar San Andrés,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar San Andrés
2017-08-01T23:00:00Z,Solar San Andrés,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar San Andrés
2017-08-02T00:00:00Z,Solar San Andrés,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar San Andrés
2017-08-01T01:00:00Z,Solar Santa Cecilia,Solar,"0,00",Solar Fotovoltaica,ERNC,Santa Cecilia
2017-08-01T02:00:00Z,Solar Santa Cecilia,Solar,"0,00",Solar Fotovoltaica,ERNC,Santa Cecilia
2017-08-01T03:00:00Z,Solar Santa Cecilia,Solar,"0,00",Solar Fotovoltaica,ERNC,Santa Cecilia
2017-08-01T04:00:00Z,Solar Santa Cecilia,Solar,"0,00",Solar Fotovoltaica,ERNC,Santa Cecilia
2017-08-01T05:00:00Z,Solar Santa Cecilia,Solar,"0,00",Solar Fotovoltaica,ERNC,Santa Cecilia
2017-08-01T06:00:00Z,Solar Santa Cecilia,Solar,"0,00",Solar Fotovoltaica,ERNC,Santa Cecilia
2017-08-01T07:00:00Z,Solar Santa Cecilia,Solar,"0,00",Solar Fotovoltaica,ERNC,Santa Cecilia
2017-08-01T08:00:00Z,Solar Santa Cecilia,Solar,"0,00",Solar Fotovoltaica,ERNC,Santa Cecilia
2017-08-01T09:00:00Z,Solar Santa Cecilia,Solar,"0,02",Solar Fotovoltaica,ERNC,Santa Cecilia
2017-08-01T10:00:00Z,Solar Santa Cecilia,Solar,"0,12",Solar Fotovoltaica,ERNC,Santa Cecilia
2017-08-01T11:00:00Z,Solar Santa Cecilia,Solar,"0,20",Solar Fotovoltaica,ERNC,Santa Cecilia
2017-08-01T12:00:00Z,Solar Santa Cecilia,Solar,"0,69",Solar Fotovoltaica,ERNC,Santa Cecilia
2017-08-01T13:00:00Z,Solar Santa Cecilia,Solar,"0,77",Solar Fotovoltaica,ERNC,Santa Cecilia
2017-08-01T14:00:00Z,Solar Santa Cecilia,Solar,"0,89",Solar Fotovoltaica,ERNC,Santa Cecilia
2017-08-01T15:00:00Z,Solar Santa Cecilia,Solar,"1,00",Solar Fotovoltaica,ERNC,Santa Cecilia
2017-08-01T16:00:00Z,Solar Santa Cecilia,Solar,"1,39",Solar Fotovoltaica,ERNC,Santa Cecilia
2017-08-01T17:00:00Z,Solar Santa Cecilia,Solar,"1,14",Solar Fotovoltaica,ERNC,Santa Cecilia
2017-08-01T18:00:00Z,Solar Santa Cecilia,Solar,"0,13",Solar Fotovoltaica,ERNC,Santa Cecilia
2017-08-01T19:00:00Z,Solar Santa Cecilia,Solar,"0,00",Solar Fotovoltaica,ERNC,Santa Cecilia
2017-08-01T20:00:00Z,Solar Santa Cecilia,Solar,"0,00",Solar Fotovoltaica,ERNC,Santa Cecilia
2017-08-01T21:00:00Z,Solar Santa Cecilia,Solar,"0,00",Solar Fotovoltaica,ERNC,Santa Cecilia
2017-08-01T22:00:00Z,Solar Santa Cecilia,Solar,"0,00",Solar Fotovoltaica,ERNC,Santa Cecilia
2017-08-01T23:00:00Z,Solar Santa Cecilia,Solar,"0,00",Solar Fotovoltaica,ERNC,Santa Cecilia
2017-08-02T00:00:00Z,Solar Santa Cecilia,Solar,"0,00",Solar Fotovoltaica,ERNC,Santa Cecilia
2017-08-01T01:00:00Z,Solar Techos de Altamira,Solar,"0,00",Solar Fotovoltaica,ERNC,Techos de Altamira
2017-08-01T02:00:00Z,Solar Techos de Altamira,Solar,"0,00",Solar Fotovoltaica,ERNC,Techos de Altamira
2017-08-01T03:00:00Z,Solar Techos de Altamira,Solar,"0,00",Solar Fotovoltaica,ERNC,Techos de Altamira
2017-08-01T04:00:00Z,Solar Techos de Altamira,Solar,"0,00",Solar Fotovoltaica,ERNC,Techos de Altamira
2017-08-01T05:00:00Z,Solar Techos de Altamira,Solar,"0,00",Solar Fotovoltaica,ERNC,Techos de Altamira
2017-08-01T06:00:00Z,Solar Techos de Altamira,Solar,"0,00",Solar Fotovoltaica,ERNC,Techos de Altamira
2017-08-01T07:00:00Z,Solar Techos de Altamira,Solar,"0,00",Solar Fotovoltaica,ERNC,Techos de Altamira
2017-08-01T08:00:00Z,Solar Techos de Altamira,Solar,"0,00",Solar Fotovoltaica,ERNC,Techos de Altamira
